,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
3460,9416030,VIBOS,ZGGG,2018-02-20 10:10:00,2018-02-20 09:50:00,2018-02-20 10:20:00,2018-02-20 00:00:00,-10.0
3461,9416354,VIBOS,ZGGG,2018-02-20 12:04:00,2018-02-20 11:55:00,2018-02-20 12:25:00,2018-02-20 00:00:00,-21.0
3462,9416672,VIBOS,ZGGG,2018-02-20 09:37:00,2018-02-20 09:15:00,2018-02-20 09:45:00,2018-02-20 00:00:00,-8.0
3463,9416686,VIBOS,ZGGG,2018-02-20 08:38:00,2018-02-20 08:15:00,2018-02-20 08:45:00,2018-02-20 00:00:00,-7.0
3464,9416687,VIBOS,ZGGG,2018-02-20 11:53:00,2018-02-20 11:50:00,2018-02-20 12:20:00,2018-02-20 00:00:00,-27.0
3465,9416975,VIBOS,ZGGG,2018-02-20 12:28:00,2018-02-20 11:55:00,2018-02-20 12:25:00,2018-02-20 00:00:00,3.0
3466,9416978,VIBOS,ZGGG,2018-02-20 11:39:00,2018-02-20 11:35:00,2018-02-20 12:05:00,2018-02-20 00:00:00,-26.0
3467,9417058,VIBOS,ZGGG,2018-02-20 09:26:00,2018-02-20 09:05:00,2018-02-20 09:35:00,2018-02-20 00:00:00,-9.0
3468,9417062,VIBOS,ZGGG,2018-02-20 09:50:00,2018-02-20 09:05:00,2018-02-20 09:35:00,2018-02-20 00:00:00,15.0
3469,9417330,VIBOS,ZGGG,2018-02-20 08:23:00,2018-02-20 08:00:00,2018-02-20 08:30:00,2018-02-20 00:00:00,-7.0
3470,9417344,VIBOS,ZGGG,2018-02-20 07:52:00,2018-02-20 07:40:00,2018-02-20 08:10:00,2018-02-20 00:00:00,-18.0
3471,9417856,VIBOS,ZGGG,2018-02-20 09:22:00,2018-02-20 09:05:00,2018-02-20 09:35:00,2018-02-20 00:00:00,-13.0
3472,9417874,VIBOS,ZGGG,2018-02-20 11:56:00,2018-02-20 11:30:00,2018-02-20 12:00:00,2018-02-20 00:00:00,-4.0
3473,9418071,VIBOS,ZGGG,2018-02-20 11:34:00,2018-02-20 11:10:00,2018-02-20 11:40:00,2018-02-20 00:00:00,-6.0
3474,9418170,VIBOS,ZGGG,2018-02-20 11:20:00,2018-02-20 11:10:00,2018-02-20 11:40:00,2018-02-20 00:00:00,-20.0
3475,9418438,VIBOS,ZGGG,2018-02-20 07:51:00,2018-02-20 07:40:00,2018-02-20 08:10:00,2018-02-20 00:00:00,-19.0
3476,9418649,VIBOS,ZGGG,2018-02-20 12:21:00,2018-02-20 11:20:00,2018-02-20 11:50:00,2018-02-20 00:00:00,31.0
3477,9418779,VIBOS,ZGGG,2018-02-20 06:57:00,2018-02-20 06:55:00,2018-02-20 07:25:00,2018-02-20 00:00:00,-28.0
3478,9419383,VIBOS,ZGGG,2018-02-20 15:37:00,2018-02-20 15:25:00,2018-02-20 15:55:00,2018-02-20 00:00:00,-18.0
3479,9419552,VIBOS,ZGGG,2018-02-20 14:11:00,2018-02-20 13:30:00,2018-02-20 14:00:00,2018-02-20 00:00:00,11.0
3480,9419759,VIBOS,ZGGG,2018-02-20 16:06:00,2018-02-20 15:40:00,2018-02-20 16:10:00,2018-02-20 00:00:00,-4.0
3481,9419836,VIBOS,ZGGG,2018-02-20 17:13:00,2018-02-20 17:05:00,2018-02-20 17:35:00,2018-02-20 00:00:00,-22.0
3482,9419865,VIBOS,ZGGG,2018-02-20 16:12:00,2018-02-20 16:00:00,2018-02-20 16:30:00,2018-02-20 00:00:00,-18.0
3483,9419915,VIBOS,ZGGG,2018-02-20 15:19:00,2018-02-20 15:00:00,2018-02-20 15:30:00,2018-02-20 00:00:00,-11.0
3484,9420160,VIBOS,ZGGG,2018-02-20 15:13:00,2018-02-20 14:30:00,2018-02-20 15:00:00,2018-02-20 00:00:00,13.0
3485,9420191,VIBOS,ZGGG,2018-02-20 17:33:00,2018-02-20 17:25:00,2018-02-20 17:55:00,2018-02-20 00:00:00,-22.0
3486,9420192,VIBOS,ZGGG,2018-02-20 13:22:00,2018-02-20 12:55:00,2018-02-20 13:25:00,2018-02-20 00:00:00,-3.0
3487,9420194,VIBOS,ZGGG,2018-02-20 17:45:00,2018-02-20 17:20:00,2018-02-20 17:50:00,2018-02-20 00:00:00,-5.0
3488,9420211,VIBOS,ZGGG,2018-02-20 15:27:00,2018-02-20 15:15:00,2018-02-20 15:45:00,2018-02-20 00:00:00,-18.0
3489,9420228,VIBOS,ZGGG,2018-02-20 12:40:00,2018-02-20 12:35:00,2018-02-20 13:05:00,2018-02-20 00:00:00,-25.0
