,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
962,9262099,GYA,ZGGG,2018-02-05 07:37:00,2018-02-05 07:55:00,2018-02-05 08:05:00,2018-02-05 00:00:00,-28.0
963,9262131,GYA,ZGGG,2018-02-05 12:47:00,2018-02-05 12:45:00,2018-02-05 12:55:00,2018-02-05 00:00:00,-8.0
964,9262188,GYA,ZGGG,2018-02-05 14:04:00,2018-02-05 13:30:00,2018-02-05 13:40:00,2018-02-05 00:00:00,24.0
965,9262366,GYA,ZGGG,2018-02-05 12:15:00,2018-02-05 12:05:00,2018-02-05 12:15:00,2018-02-05 00:00:00,0.0
966,9262400,GYA,ZGGG,2018-02-05 09:45:00,2018-02-05 09:55:00,2018-02-05 10:05:00,2018-02-05 00:00:00,-20.0
967,9262525,GYA,ZGGG,2018-02-05 12:01:00,2018-02-05 11:35:00,2018-02-05 11:45:00,2018-02-05 00:00:00,16.0
968,9262852,GYA,ZGGG,2018-02-05 13:56:00,2018-02-05 13:20:00,2018-02-05 13:30:00,2018-02-05 00:00:00,26.0
969,9262900,GYA,ZGGG,2018-02-05 09:42:00,2018-02-05 10:00:00,2018-02-05 10:10:00,2018-02-05 00:00:00,-28.0
970,9262961,GYA,ZGGG,2018-02-05 10:08:00,2018-02-05 10:20:00,2018-02-05 10:30:00,2018-02-05 00:00:00,-22.0
971,9263060,GYA,ZGGG,2018-02-05 11:40:00,2018-02-05 12:10:00,2018-02-05 12:20:00,2018-02-05 00:00:00,-40.0
972,9263102,GYA,ZGGG,2018-02-05 10:41:00,2018-02-05 10:40:00,2018-02-05 10:50:00,2018-02-05 00:00:00,-9.0
973,9263428,GYA,ZGGG,2018-02-05 14:27:00,2018-02-05 14:30:00,2018-02-05 14:40:00,2018-02-05 00:00:00,-13.0
974,9263594,GYA,ZGGG,2018-02-05 17:00:00,2018-02-05 16:15:00,2018-02-05 16:25:00,2018-02-05 00:00:00,35.0
975,9264027,GYA,ZGGG,2018-02-05 19:04:00,2018-02-05 19:30:00,2018-02-05 19:40:00,2018-02-05 00:00:00,-36.0
976,9264048,GYA,ZGGG,2018-02-05 19:01:00,2018-02-05 19:25:00,2018-02-05 19:35:00,2018-02-05 00:00:00,-34.0
977,9264058,GYA,ZGGG,2018-02-05 17:38:00,2018-02-05 18:10:00,2018-02-05 18:20:00,2018-02-05 00:00:00,-42.0
978,9264156,GYA,ZGGG,2018-02-05 16:07:00,2018-02-05 16:00:00,2018-02-05 16:10:00,2018-02-05 00:00:00,-3.0
979,9264167,GYA,ZGGG,2018-02-05 18:17:00,2018-02-05 18:05:00,2018-02-05 18:15:00,2018-02-05 00:00:00,2.0
980,9264211,GYA,ZGGG,2018-02-05 19:02:00,2018-02-05 18:50:00,2018-02-05 19:00:00,2018-02-05 00:00:00,2.0
981,9264213,GYA,ZGGG,2018-02-05 17:03:00,2018-02-05 17:05:00,2018-02-05 17:15:00,2018-02-05 00:00:00,-12.0
982,9264401,GYA,ZGGG,2018-02-05 19:40:00,2018-02-05 20:15:00,2018-02-05 20:25:00,2018-02-05 00:00:00,-45.0
983,9264528,GYA,ZGGG,2018-02-05 19:36:00,2018-02-05 18:55:00,2018-02-05 19:05:00,2018-02-05 00:00:00,31.0
984,9265087,GYA,ZGGG,2018-02-05 16:55:00,2018-02-05 16:40:00,2018-02-05 16:50:00,2018-02-05 00:00:00,5.0
985,9265092,GYA,ZGGG,2018-02-05 19:53:00,2018-02-05 19:20:00,2018-02-05 19:30:00,2018-02-05 00:00:00,23.0
986,9265444,GYA,ZGGG,2018-02-05 15:57:00,2018-02-05 15:55:00,2018-02-05 16:05:00,2018-02-05 00:00:00,-8.0
987,9265627,GYA,ZGGG,2018-02-05 19:24:00,2018-02-05 19:50:00,2018-02-05 20:00:00,2018-02-05 00:00:00,-36.0
988,9265683,GYA,ZGGG,2018-02-05 18:08:00,2018-02-05 18:20:00,2018-02-05 18:30:00,2018-02-05 00:00:00,-22.0
989,9266063,GYA,ZGGG,2018-02-05 19:56:00,2018-02-05 17:50:00,2018-02-05 18:00:00,2018-02-05 00:00:00,116.0
990,9266191,GYA,ZGGG,2018-02-05 18:30:00,2018-02-05 18:55:00,2018-02-05 19:05:00,2018-02-05 00:00:00,-35.0
991,9266731,GYA,ZGGG,2018-02-04 11:04:00,2018-02-04 10:35:00,2018-02-04 10:45:00,2018-02-04 00:00:00,19.0
992,9266752,GYA,ZGGG,2018-02-05 01:41:00,2018-02-05 01:55:00,2018-02-05 02:05:00,2018-02-05 00:00:00,-24.0
993,9266766,GYA,ZGGG,2018-02-03 21:30:00,2018-02-03 21:35:00,2018-02-03 21:45:00,2018-02-03 00:00:00,-15.0
994,9266788,GYA,ZGGG,2018-02-03 08:53:00,2018-02-03 09:10:00,2018-02-03 09:20:00,2018-02-03 00:00:00,-27.0
995,9266811,GYA,ZGGG,2018-02-03 20:47:00,2018-02-03 20:30:00,2018-02-03 20:40:00,2018-02-03 00:00:00,7.0
996,9266813,GYA,ZGGG,2018-02-05 21:17:00,2018-02-05 20:30:00,2018-02-05 20:40:00,2018-02-05 00:00:00,37.0
997,9266816,GYA,ZGGG,2018-02-02 13:51:00,2018-02-02 13:55:00,2018-02-02 14:05:00,2018-02-02 00:00:00,-14.0
998,9267330,GYA,ZGGG,2018-02-01 16:46:00,2018-02-01 16:25:00,2018-02-01 16:35:00,2018-02-01 00:00:00,11.0
999,9267379,GYA,ZGGG,2018-02-05 15:09:00,2018-02-05 15:25:00,2018-02-05 15:35:00,2018-02-05 00:00:00,-26.0
1000,9267410,GYA,ZGGG,2018-02-04 11:25:00,2018-02-04 11:20:00,2018-02-04 11:30:00,2018-02-04 00:00:00,-5.0
1001,9267411,GYA,ZGGG,2018-02-05 15:29:00,2018-02-05 11:20:00,2018-02-05 11:30:00,2018-02-05 00:00:00,239.0
1002,9267415,GYA,ZGGG,2018-02-01 18:29:00,2018-02-01 18:20:00,2018-02-01 18:30:00,2018-02-01 00:00:00,-1.0
1003,9267416,GYA,ZGGG,2018-02-03 18:14:00,2018-02-03 18:20:00,2018-02-03 18:30:00,2018-02-03 00:00:00,-16.0
1004,9267502,GYA,ZGGG,2018-02-05 22:16:00,2018-02-05 22:10:00,2018-02-05 22:20:00,2018-02-05 00:00:00,-4.0
1005,9267504,GYA,ZGGG,2018-02-06 05:20:00,2018-02-06 05:35:00,2018-02-06 05:45:00,2018-02-06 00:00:00,-25.0
1006,9267532,GYA,ZGGG,2018-02-05 22:08:00,2018-02-05 22:20:00,2018-02-05 22:30:00,2018-02-05 00:00:00,-22.0
1007,9267667,GYA,ZGGG,2018-02-06 00:21:00,2018-02-06 00:30:00,2018-02-06 00:40:00,2018-02-06 00:00:00,-19.0
1008,9267696,GYA,ZGGG,2018-02-06 01:47:00,2018-02-06 02:00:00,2018-02-06 02:10:00,2018-02-06 00:00:00,-23.0
1009,9267697,GYA,ZGGG,2018-02-06 00:55:00,2018-02-06 01:10:00,2018-02-06 01:20:00,2018-02-06 00:00:00,-25.0
1010,9267701,GYA,ZGGG,2018-02-06 00:41:00,2018-02-06 00:55:00,2018-02-06 01:05:00,2018-02-06 00:00:00,-24.0
1011,9267702,GYA,ZGGG,2018-02-06 02:24:00,2018-02-06 02:20:00,2018-02-06 02:30:00,2018-02-06 00:00:00,-6.0
1012,9267819,GYA,ZGGG,2018-02-06 00:44:00,2018-02-06 00:40:00,2018-02-06 00:50:00,2018-02-06 00:00:00,-6.0
1013,9267840,GYA,ZGGG,2018-02-06 01:31:00,2018-02-06 01:20:00,2018-02-06 01:30:00,2018-02-06 00:00:00,1.0
1014,9268139,GYA,ZGGG,2018-02-05 22:27:00,2018-02-05 22:40:00,2018-02-05 22:50:00,2018-02-05 00:00:00,-23.0
1015,9268152,GYA,ZGGG,2018-02-05 22:14:00,2018-02-05 21:30:00,2018-02-05 21:40:00,2018-02-05 00:00:00,34.0
1016,9268165,GYA,ZGGG,2018-02-06 00:58:00,2018-02-05 23:55:00,2018-02-06 00:05:00,2018-02-06 00:00:00,53.0
1017,9268176,GYA,ZGGG,2018-02-06 01:16:00,2018-02-06 00:45:00,2018-02-06 00:55:00,2018-02-06 00:00:00,21.0
1018,9268190,GYA,ZGGG,2018-02-06 00:11:00,2018-02-06 00:35:00,2018-02-06 00:45:00,2018-02-06 00:00:00,-34.0
1019,9268191,GYA,ZGGG,2018-02-06 00:21:00,2018-02-05 22:25:00,2018-02-05 22:35:00,2018-02-05 00:00:00,106.0
1020,9268208,GYA,ZGGG,2018-02-05 21:54:00,2018-02-05 21:25:00,2018-02-05 21:35:00,2018-02-05 00:00:00,19.0
1021,9268213,GYA,ZGGG,2018-02-06 00:03:00,2018-02-05 23:25:00,2018-02-05 23:35:00,2018-02-05 00:00:00,28.0
1022,9268233,GYA,ZGGG,2018-02-05 23:45:00,2018-02-05 23:50:00,2018-02-06 00:00:00,2018-02-06 00:00:00,-15.0
1023,9268249,GYA,ZGGG,2018-02-05 20:06:00,2018-02-05 20:40:00,2018-02-05 20:50:00,2018-02-05 00:00:00,-44.0
1024,9268459,GYA,ZGGG,2018-02-06 00:19:00,2018-02-05 23:40:00,2018-02-05 23:50:00,2018-02-05 00:00:00,29.0
1025,9268461,GYA,ZGGG,2018-02-06 01:03:00,2018-02-06 00:30:00,2018-02-06 00:40:00,2018-02-06 00:00:00,23.0
1026,9268494,GYA,ZGGG,2018-02-05 21:58:00,2018-02-05 21:55:00,2018-02-05 22:05:00,2018-02-05 00:00:00,-7.0
1027,9268512,GYA,ZGGG,2018-02-05 22:26:00,2018-02-05 22:40:00,2018-02-05 22:50:00,2018-02-05 00:00:00,-24.0
1028,9268567,GYA,ZGGG,2018-02-05 22:03:00,2018-02-05 21:40:00,2018-02-05 21:50:00,2018-02-05 00:00:00,13.0
1029,9268767,GYA,ZGGG,2018-02-06 00:06:00,2018-02-06 00:15:00,2018-02-06 00:25:00,2018-02-06 00:00:00,-19.0
1030,9268789,GYA,ZGGG,2018-02-06 02:28:00,2018-02-06 00:35:00,2018-02-06 00:45:00,2018-02-06 00:00:00,103.0
1031,9268806,GYA,ZGGG,2018-02-05 21:46:00,2018-02-05 20:40:00,2018-02-05 20:50:00,2018-02-05 00:00:00,56.0
1032,9268890,GYA,ZGGG,2018-02-05 23:53:00,2018-02-06 00:25:00,2018-02-06 00:35:00,2018-02-06 00:00:00,-42.0
1033,9269293,GYA,ZGGG,2018-02-06 01:01:00,2018-02-06 01:45:00,2018-02-06 01:55:00,2018-02-06 00:00:00,-54.0
1034,9269542,GYA,ZGGG,2018-02-06 02:49:00,2018-02-06 02:40:00,2018-02-06 02:50:00,2018-02-06 00:00:00,-1.0
1035,9269562,GYA,ZGGG,2018-02-06 00:49:00,2018-02-06 01:05:00,2018-02-06 01:15:00,2018-02-06 00:00:00,-26.0
1036,9269945,GYA,ZGGG,2018-02-05 22:34:00,2018-02-05 22:25:00,2018-02-05 22:35:00,2018-02-05 00:00:00,-1.0
1037,9270011,GYA,ZGGG,2018-02-06 01:24:00,2018-02-06 01:55:00,2018-02-06 02:05:00,2018-02-06 00:00:00,-41.0
