,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
3177,10429089,ATAGA,ZGGG,2018-06-01 04:30:00,2018-06-01 04:15:00,2018-06-01 04:25:00,2018-06-01 00:00:00,5.0
3178,10428824,ATAGA,ZGGG,2018-06-01 08:50:00,2018-06-01 08:45:00,2018-06-01 08:55:00,2018-06-01 00:00:00,-5.0
3179,10449714,ATAGA,ZGGG,2018-06-03 10:34:00,2018-06-03 10:40:00,2018-06-03 10:50:00,2018-06-03 00:00:00,-16.0
3180,10447936,ATAGA,ZGGG,2018-06-03 02:19:00,2018-06-03 01:10:00,2018-06-03 01:20:00,2018-06-03 00:00:00,59.0
3181,10449091,ATAGA,ZGGG,2018-06-03 04:03:00,2018-06-03 04:45:00,2018-06-03 04:55:00,2018-06-03 00:00:00,-52.0
3182,10499003,ATAGA,ZGGG,2018-06-03 03:16:00,2018-06-03 02:15:00,2018-06-03 02:25:00,2018-06-03 00:00:00,51.0
3183,10449565,ATAGA,ZGGG,2018-06-03 14:47:00,2018-06-03 13:45:00,2018-06-03 13:55:00,2018-06-03 00:00:00,52.0
3184,10503718,ATAGA,ZGGG,2018-06-08 13:37:00,2018-06-08 13:45:00,2018-06-08 13:55:00,2018-06-08 00:00:00,-18.0
3185,10463930,ATAGA,ZGGG,2018-06-04 15:18:00,2018-06-04 15:15:00,2018-06-04 15:25:00,2018-06-04 00:00:00,-7.0
3186,10443388,ATAGA,ZGGG,2018-06-02 18:48:00,2018-06-02 17:00:00,2018-06-02 17:10:00,2018-06-02 00:00:00,98.0
3187,10431300,ATAGA,ZGGG,2018-06-01 11:51:00,2018-06-01 12:05:00,2018-06-01 12:15:00,2018-06-01 00:00:00,-24.0
3188,10434276,ATAGA,ZGGG,2018-06-01 16:44:00,2018-06-01 15:50:00,2018-06-01 16:00:00,2018-06-01 00:00:00,44.0
3189,10433712,ATAGA,ZGGG,2018-06-01 16:20:00,2018-06-01 16:15:00,2018-06-01 16:25:00,2018-06-01 00:00:00,-5.0
3190,10498351,ATAGA,ZGGG,2018-06-03 01:01:00,2018-06-02 23:25:00,2018-06-02 23:35:00,2018-06-02 00:00:00,86.0
3191,10447986,ATAGA,ZGGG,2018-06-03 01:26:00,2018-06-02 23:35:00,2018-06-02 23:45:00,2018-06-02 00:00:00,101.0
3192,10436841,ATAGA,ZGGG,2018-06-02 00:01:00,2018-06-01 23:15:00,2018-06-01 23:25:00,2018-06-01 00:00:00,36.0
3193,10437788,ATAGA,ZGGG,2018-06-01 23:56:00,2018-06-01 23:40:00,2018-06-01 23:50:00,2018-06-01 00:00:00,6.0
3194,10440327,ATAGA,ZGGG,2018-06-02 08:14:00,2018-06-02 08:30:00,2018-06-02 08:40:00,2018-06-02 00:00:00,-26.0
