,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
2124,10546140,IDUMA,ZGGG,2018-06-13 00:28:00,2018-06-12 22:35:00,2018-06-12 22:45:00,2018-06-12 00:00:00,103.0
2125,10544782,IDUMA,ZGGG,2018-06-12 23:08:00,2018-06-12 23:20:00,2018-06-12 23:30:00,2018-06-12 00:00:00,-22.0
2126,10503745,IDUMA,ZGGG,2018-06-08 20:57:00,2018-06-08 18:20:00,2018-06-08 18:30:00,2018-06-08 00:00:00,147.0
2127,10554189,IDUMA,ZGGG,2018-06-08 18:24:00,2018-06-08 17:10:00,2018-06-08 17:20:00,2018-06-08 00:00:00,64.0
2128,10545548,IDUMA,ZGGG,2018-06-12 22:32:00,2018-06-12 22:45:00,2018-06-12 22:55:00,2018-06-12 00:00:00,-23.0
2129,10545889,IDUMA,ZGGG,2018-06-13 02:36:00,2018-06-13 00:20:00,2018-06-13 00:30:00,2018-06-13 00:00:00,126.0
2130,10480642,IDUMA,ZGGG,2018-06-06 09:22:00,2018-06-06 09:40:00,2018-06-06 09:50:00,2018-06-06 00:00:00,-28.0
2131,10479877,IDUMA,ZGGG,2018-06-06 10:09:00,2018-06-06 10:40:00,2018-06-06 10:50:00,2018-06-06 00:00:00,-41.0
2132,10533011,IDUMA,ZGGG,2018-06-11 15:13:00,2018-06-11 16:00:00,2018-06-11 16:10:00,2018-06-11 00:00:00,-57.0
2133,10533047,IDUMA,ZGGG,2018-06-11 15:19:00,2018-06-11 16:00:00,2018-06-11 16:10:00,2018-06-11 00:00:00,-51.0
2134,10533069,IDUMA,ZGGG,2018-06-11 15:01:00,2018-06-11 15:00:00,2018-06-11 15:10:00,2018-06-11 00:00:00,-9.0
2135,10494115,IDUMA,ZGGG,2018-06-07 21:51:00,2018-06-07 20:05:00,2018-06-07 20:15:00,2018-06-07 00:00:00,96.0
2136,10643055,IDUMA,ZGGG,2018-06-21 17:56:00,2018-06-21 17:50:00,2018-06-21 18:00:00,2018-06-21 00:00:00,-4.0
2137,10644144,IDUMA,ZGGG,2018-06-21 20:30:00,2018-06-21 19:50:00,2018-06-21 20:00:00,2018-06-21 00:00:00,30.0
2138,10500607,IDUMA,ZGGG,2018-06-08 10:47:00,2018-06-08 11:00:00,2018-06-08 11:10:00,2018-06-08 00:00:00,-23.0
2139,10609829,IDUMA,ZGGG,2018-06-18 10:47:00,2018-06-18 10:50:00,2018-06-18 11:00:00,2018-06-18 00:00:00,-13.0
2140,10609203,IDUMA,ZGGG,2018-06-18 14:56:00,2018-06-18 14:45:00,2018-06-18 14:55:00,2018-06-18 00:00:00,1.0
2141,10609742,IDUMA,ZGGG,2018-06-18 11:36:00,2018-06-18 11:45:00,2018-06-18 11:55:00,2018-06-18 00:00:00,-19.0
2142,10483817,IDUMA,ZGGG,2018-06-06 18:56:00,2018-06-06 19:05:00,2018-06-06 19:15:00,2018-06-06 00:00:00,-19.0
2143,10473608,IDUMA,ZGGG,2018-06-05 15:39:00,2018-06-05 15:55:00,2018-06-05 16:05:00,2018-06-05 00:00:00,-26.0
2144,10474187,IDUMA,ZGGG,2018-06-05 16:57:00,2018-06-05 15:55:00,2018-06-05 16:05:00,2018-06-05 00:00:00,52.0
2145,10547580,IDUMA,ZGGG,2018-06-13 04:32:00,2018-06-13 04:45:00,2018-06-13 04:55:00,2018-06-13 00:00:00,-23.0
2146,10534286,IDUMA,ZGGG,2018-06-11 17:48:00,2018-06-11 18:10:00,2018-06-11 18:20:00,2018-06-11 00:00:00,-32.0
2147,10513224,IDUMA,ZGGG,2018-06-09 19:25:00,2018-06-09 20:00:00,2018-06-09 20:10:00,2018-06-09 00:00:00,-45.0
2148,10508567,IDUMA,ZGGG,2018-06-09 09:09:00,2018-06-09 09:30:00,2018-06-09 09:40:00,2018-06-09 00:00:00,-31.0
2149,10508598,IDUMA,ZGGG,2018-06-09 06:08:00,2018-06-09 05:35:00,2018-06-09 05:45:00,2018-06-09 00:00:00,23.0
2150,10516250,IDUMA,ZGGG,2018-06-09 20:18:00,2018-06-09 20:20:00,2018-06-09 20:30:00,2018-06-09 00:00:00,-12.0
2151,10531543,IDUMA,ZGGG,2018-06-11 19:05:00,2018-06-11 19:20:00,2018-06-11 19:30:00,2018-06-11 00:00:00,-25.0
2152,10547402,IDUMA,ZGGG,2018-06-13 07:04:00,2018-06-13 06:15:00,2018-06-13 06:25:00,2018-06-13 00:00:00,39.0
2153,10461014,IDUMA,ZGGG,2018-06-04 09:26:00,2018-06-04 09:30:00,2018-06-04 09:40:00,2018-06-04 00:00:00,-14.0
2154,10543467,IDUMA,ZGGG,2018-06-12 20:52:00,2018-06-12 17:45:00,2018-06-12 17:55:00,2018-06-12 00:00:00,177.0
2155,10480303,IDUMA,ZGGG,2018-06-06 09:55:00,2018-06-06 09:55:00,2018-06-06 10:05:00,2018-06-06 00:00:00,-10.0
2156,10480032,IDUMA,ZGGG,2018-06-06 09:17:00,2018-06-06 09:40:00,2018-06-06 09:50:00,2018-06-06 00:00:00,-33.0
2157,10490882,IDUMA,ZGGG,2018-06-07 11:12:00,2018-06-07 11:15:00,2018-06-07 11:25:00,2018-06-07 00:00:00,-13.0
2158,10490217,IDUMA,ZGGG,2018-06-07 14:52:00,2018-06-07 13:40:00,2018-06-07 13:50:00,2018-06-07 00:00:00,62.0
2159,10491014,IDUMA,ZGGG,2018-06-07 10:33:00,2018-06-07 10:40:00,2018-06-07 10:50:00,2018-06-07 00:00:00,-17.0
2160,10511486,IDUMA,ZGGG,2018-06-09 14:15:00,2018-06-09 13:50:00,2018-06-09 14:00:00,2018-06-09 00:00:00,15.0
2161,10513511,IDUMA,ZGGG,2018-06-09 14:29:00,2018-06-09 13:50:00,2018-06-09 14:00:00,2018-06-09 00:00:00,29.0
2162,10538483,IDUMA,ZGGG,2018-06-12 07:41:00,2018-06-12 08:05:00,2018-06-12 08:15:00,2018-06-12 00:00:00,-34.0
2163,10520981,IDUMA,ZGGG,2018-06-10 12:31:00,2018-06-10 12:55:00,2018-06-10 13:05:00,2018-06-10 00:00:00,-34.0
2164,10520366,IDUMA,ZGGG,2018-06-10 11:30:00,2018-06-10 11:45:00,2018-06-10 11:55:00,2018-06-10 00:00:00,-25.0
2165,10520214,IDUMA,ZGGG,2018-06-10 13:11:00,2018-06-10 13:40:00,2018-06-10 13:50:00,2018-06-10 00:00:00,-39.0
2166,10520395,IDUMA,ZGGG,2018-06-10 14:55:00,2018-06-10 15:25:00,2018-06-10 15:35:00,2018-06-10 00:00:00,-40.0
2167,10536100,IDUMA,ZGGG,2018-06-12 00:06:00,2018-06-12 00:30:00,2018-06-12 00:40:00,2018-06-12 00:00:00,-34.0
2168,10535133,IDUMA,ZGGG,2018-06-12 00:40:00,2018-06-12 01:20:00,2018-06-12 01:30:00,2018-06-12 00:00:00,-50.0
2169,10504817,IDUMA,ZGGG,2018-06-08 22:56:00,2018-06-08 20:00:00,2018-06-08 20:10:00,2018-06-08 00:00:00,166.0
2170,10493848,IDUMA,ZGGG,2018-06-07 19:55:00,2018-06-07 18:25:00,2018-06-07 18:35:00,2018-06-07 00:00:00,80.0
2171,10497682,IDUMA,ZGGG,2018-06-08 00:34:00,2018-06-07 23:45:00,2018-06-07 23:55:00,2018-06-07 00:00:00,39.0
2172,10473820,IDUMA,ZGGG,2018-06-05 17:34:00,2018-06-05 17:25:00,2018-06-05 17:35:00,2018-06-05 00:00:00,-1.0
2173,10535802,IDUMA,ZGGG,2018-06-12 00:52:00,2018-06-12 00:55:00,2018-06-12 01:05:00,2018-06-12 00:00:00,-13.0
2174,10518318,IDUMA,ZGGG,2018-06-10 04:38:00,2018-06-10 05:00:00,2018-06-10 05:10:00,2018-06-10 00:00:00,-32.0
2175,10518061,IDUMA,ZGGG,2018-06-10 06:02:00,2018-06-10 06:00:00,2018-06-10 06:10:00,2018-06-10 00:00:00,-8.0
2176,10519875,IDUMA,ZGGG,2018-06-10 13:14:00,2018-06-10 13:30:00,2018-06-10 13:40:00,2018-06-10 00:00:00,-26.0
2177,10459984,IDUMA,ZGGG,2018-06-04 10:05:00,2018-06-04 10:05:00,2018-06-04 10:15:00,2018-06-04 00:00:00,-10.0
2178,10500845,IDUMA,ZGGG,2018-06-08 10:31:00,2018-06-08 10:20:00,2018-06-08 10:30:00,2018-06-08 00:00:00,1.0
2179,10500104,IDUMA,ZGGG,2018-06-08 13:21:00,2018-06-08 11:25:00,2018-06-08 11:35:00,2018-06-08 00:00:00,106.0
2180,10521350,IDUMA,ZGGG,2018-06-10 15:25:00,2018-06-10 15:30:00,2018-06-10 15:40:00,2018-06-10 00:00:00,-15.0
2181,10526561,IDUMA,ZGGG,2018-06-10 21:50:00,2018-06-10 22:15:00,2018-06-10 22:25:00,2018-06-10 00:00:00,-35.0
2182,10526400,IDUMA,ZGGG,2018-06-10 21:56:00,2018-06-10 22:25:00,2018-06-10 22:35:00,2018-06-10 00:00:00,-39.0
2183,10536113,IDUMA,ZGGG,2018-06-12 00:45:00,2018-06-12 01:20:00,2018-06-12 01:30:00,2018-06-12 00:00:00,-45.0
