,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
657,9064999,IGONO,ZGGG,2018-01-16 07:45:00,2018-01-16 08:10:00,2018-01-16 08:20:00,2018-01-16 00:00:00,-35.0
658,9065000,IGONO,ZGGG,2018-01-16 09:44:00,2018-01-16 09:50:00,2018-01-16 10:00:00,2018-01-16 00:00:00,-16.0
659,9065002,IGONO,ZGGG,2018-01-16 10:12:00,2018-01-16 10:20:00,2018-01-16 10:30:00,2018-01-16 00:00:00,-18.0
660,9065153,IGONO,ZGGG,2018-01-16 11:27:00,2018-01-16 11:35:00,2018-01-16 11:45:00,2018-01-16 00:00:00,-18.0
661,9065364,IGONO,ZGGG,2018-01-16 12:10:00,2018-01-16 12:25:00,2018-01-16 12:35:00,2018-01-16 00:00:00,-25.0
662,9065533,IGONO,ZGGG,2018-01-16 13:01:00,2018-01-16 13:15:00,2018-01-16 13:25:00,2018-01-16 00:00:00,-24.0
663,9065821,IGONO,ZGGG,2018-01-16 10:18:00,2018-01-16 10:25:00,2018-01-16 10:35:00,2018-01-16 00:00:00,-17.0
664,9065927,IGONO,ZGGG,2018-01-16 14:38:00,2018-01-16 14:15:00,2018-01-16 14:25:00,2018-01-16 00:00:00,13.0
665,9066166,IGONO,ZGGG,2018-01-16 14:51:00,2018-01-16 14:50:00,2018-01-16 15:00:00,2018-01-16 00:00:00,-9.0
666,9066168,IGONO,ZGGG,2018-01-16 13:54:00,2018-01-16 13:45:00,2018-01-16 13:55:00,2018-01-16 00:00:00,-1.0
667,9066575,IGONO,ZGGG,2018-01-16 19:33:00,2018-01-16 19:45:00,2018-01-16 19:55:00,2018-01-16 00:00:00,-22.0
668,9066577,IGONO,ZGGG,2018-01-16 21:45:00,2018-01-16 21:35:00,2018-01-16 21:45:00,2018-01-16 00:00:00,0.0
669,9066581,IGONO,ZGGG,2018-01-16 14:44:00,2018-01-16 14:15:00,2018-01-16 14:25:00,2018-01-16 00:00:00,19.0
670,9066582,IGONO,ZGGG,2018-01-16 14:36:00,2018-01-16 14:40:00,2018-01-16 14:50:00,2018-01-16 00:00:00,-14.0
671,9066592,IGONO,ZGGG,2018-01-16 15:53:00,2018-01-16 14:35:00,2018-01-16 14:45:00,2018-01-16 00:00:00,68.0
672,9066593,IGONO,ZGGG,2018-01-16 19:48:00,2018-01-16 20:00:00,2018-01-16 20:10:00,2018-01-16 00:00:00,-22.0
673,9066596,IGONO,ZGGG,2018-01-16 18:02:00,2018-01-16 18:00:00,2018-01-16 18:10:00,2018-01-16 00:00:00,-8.0
674,9066618,IGONO,ZGGG,2018-01-16 19:55:00,2018-01-16 20:15:00,2018-01-16 20:25:00,2018-01-16 00:00:00,-30.0
675,9066888,IGONO,ZGGG,2018-01-16 15:36:00,2018-01-16 15:25:00,2018-01-16 15:35:00,2018-01-16 00:00:00,1.0
