,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
3566,9316817,LMN,ZGGG,2018-02-10 13:33:00,2018-02-10 12:40:00,2018-02-10 13:10:00,2018-02-10 00:00:00,23.0
3567,9316825,LMN,ZGGG,2018-02-10 17:25:00,2018-02-10 17:10:00,2018-02-10 17:40:00,2018-02-10 00:00:00,-15.0
3568,9316855,LMN,ZGGG,2018-02-10 15:41:00,2018-02-10 15:20:00,2018-02-10 15:50:00,2018-02-10 00:00:00,-9.0
3569,9316964,LMN,ZGGG,2018-02-10 17:02:00,2018-02-10 16:45:00,2018-02-10 17:15:00,2018-02-10 00:00:00,-13.0
3570,9316974,LMN,ZGGG,2018-02-10 18:24:00,2018-02-10 17:55:00,2018-02-10 18:25:00,2018-02-10 00:00:00,-1.0
3571,9317014,LMN,ZGGG,2018-02-10 14:02:00,2018-02-10 12:30:00,2018-02-10 13:00:00,2018-02-10 00:00:00,62.0
3572,9317211,LMN,ZGGG,2018-02-10 18:58:00,2018-02-10 17:40:00,2018-02-10 18:10:00,2018-02-10 00:00:00,48.0
3573,9317237,LMN,ZGGG,2018-02-10 16:37:00,2018-02-10 16:20:00,2018-02-10 16:50:00,2018-02-10 00:00:00,-13.0
3574,9317285,LMN,ZGGG,2018-02-10 13:18:00,2018-02-10 13:15:00,2018-02-10 13:45:00,2018-02-10 00:00:00,-27.0
3575,9317309,LMN,ZGGG,2018-02-10 17:18:00,2018-02-10 17:05:00,2018-02-10 17:35:00,2018-02-10 00:00:00,-17.0
3576,9317327,LMN,ZGGG,2018-02-10 17:47:00,2018-02-10 17:40:00,2018-02-10 18:10:00,2018-02-10 00:00:00,-23.0
3577,9317355,LMN,ZGGG,2018-02-10 13:48:00,2018-02-10 13:30:00,2018-02-10 14:00:00,2018-02-10 00:00:00,-12.0
3578,9317381,LMN,ZGGG,2018-02-10 17:19:00,2018-02-10 17:00:00,2018-02-10 17:30:00,2018-02-10 00:00:00,-11.0
3579,9317607,LMN,ZGGG,2018-02-10 17:10:00,2018-02-10 16:45:00,2018-02-10 17:15:00,2018-02-10 00:00:00,-5.0
3580,9317644,LMN,ZGGG,2018-02-10 12:47:00,2018-02-10 12:15:00,2018-02-10 12:45:00,2018-02-10 00:00:00,2.0
3581,9317685,LMN,ZGGG,2018-02-10 15:13:00,2018-02-10 15:15:00,2018-02-10 15:45:00,2018-02-10 00:00:00,-32.0
3582,9317709,LMN,ZGGG,2018-02-10 16:20:00,2018-02-10 15:00:00,2018-02-10 15:30:00,2018-02-10 00:00:00,50.0
3583,9317748,LMN,ZGGG,2018-02-10 15:30:00,2018-02-10 15:35:00,2018-02-10 16:05:00,2018-02-10 00:00:00,-35.0
3584,9317888,LMN,ZGGG,2018-02-10 12:50:00,2018-02-10 12:30:00,2018-02-10 13:00:00,2018-02-10 00:00:00,-10.0
3585,9318046,LMN,ZGGG,2018-02-10 15:11:00,2018-02-10 14:10:00,2018-02-10 14:40:00,2018-02-10 00:00:00,31.0
3586,9318185,LMN,ZGGG,2018-02-10 17:17:00,2018-02-10 16:55:00,2018-02-10 17:25:00,2018-02-10 00:00:00,-8.0
3587,9318192,LMN,ZGGG,2018-02-10 13:49:00,2018-02-10 13:30:00,2018-02-10 14:00:00,2018-02-10 00:00:00,-11.0
3588,9318256,LMN,ZGGG,2018-02-10 15:38:00,2018-02-10 15:30:00,2018-02-10 16:00:00,2018-02-10 00:00:00,-22.0
3589,9318310,LMN,ZGGG,2018-02-10 16:22:00,2018-02-10 15:50:00,2018-02-10 16:20:00,2018-02-10 00:00:00,2.0
3590,9318311,LMN,ZGGG,2018-02-10 16:25:00,2018-02-10 16:05:00,2018-02-10 16:35:00,2018-02-10 00:00:00,-10.0
3591,9318343,LMN,ZGGG,2018-02-10 12:26:00,2018-02-10 12:10:00,2018-02-10 12:40:00,2018-02-10 00:00:00,-14.0
3592,9318593,LMN,ZGGG,2018-02-10 17:35:00,2018-02-10 17:25:00,2018-02-10 17:55:00,2018-02-10 00:00:00,-20.0
3593,9318827,LMN,ZGGG,2018-02-10 13:22:00,2018-02-10 12:50:00,2018-02-10 13:20:00,2018-02-10 00:00:00,2.0
3594,9319021,LMN,ZGGG,2018-02-10 16:58:00,2018-02-10 16:40:00,2018-02-10 17:10:00,2018-02-10 00:00:00,-12.0
3595,9319057,LMN,ZGGG,2018-02-10 16:17:00,2018-02-10 15:55:00,2018-02-10 16:25:00,2018-02-10 00:00:00,-8.0
3596,9319317,LMN,ZGGG,2018-02-10 17:30:00,2018-02-10 16:55:00,2018-02-10 17:25:00,2018-02-10 00:00:00,5.0
3597,9319587,LMN,ZGGG,2018-02-10 13:38:00,2018-02-10 12:20:00,2018-02-10 12:50:00,2018-02-10 00:00:00,48.0
3598,9319709,LMN,ZGGG,2018-02-08 16:16:00,2018-02-08 14:25:00,2018-02-08 14:55:00,2018-02-08 00:00:00,81.0
3599,9319711,LMN,ZGGG,2018-02-10 14:54:00,2018-02-10 14:25:00,2018-02-10 14:55:00,2018-02-10 00:00:00,-1.0
3600,9320343,LMN,ZGGG,2018-02-10 20:21:00,2018-02-10 20:00:00,2018-02-10 20:30:00,2018-02-10 00:00:00,-9.0
3601,9320355,LMN,ZGGG,2018-02-10 21:31:00,2018-02-10 21:10:00,2018-02-10 21:40:00,2018-02-10 00:00:00,-9.0
3602,9320360,LMN,ZGGG,2018-02-10 20:15:00,2018-02-10 20:10:00,2018-02-10 20:40:00,2018-02-10 00:00:00,-25.0
3603,9320511,LMN,ZGGG,2018-02-10 22:36:00,2018-02-10 21:40:00,2018-02-10 22:10:00,2018-02-10 00:00:00,26.0
3604,9320520,LMN,ZGGG,2018-02-10 21:37:00,2018-02-10 20:25:00,2018-02-10 20:55:00,2018-02-10 00:00:00,42.0
3605,9320522,LMN,ZGGG,2018-02-10 23:51:00,2018-02-10 23:25:00,2018-02-10 23:55:00,2018-02-10 00:00:00,-4.0
3606,9320554,LMN,ZGGG,2018-02-10 23:08:00,2018-02-10 22:40:00,2018-02-10 23:10:00,2018-02-10 00:00:00,-2.0
3607,9320868,LMN,ZGGG,2018-02-10 19:02:00,2018-02-10 18:40:00,2018-02-10 19:10:00,2018-02-10 00:00:00,-8.0
3608,9320929,LMN,ZGGG,2018-02-10 20:11:00,2018-02-10 20:10:00,2018-02-10 20:40:00,2018-02-10 00:00:00,-29.0
3609,9320930,LMN,ZGGG,2018-02-10 21:10:00,2018-02-10 21:10:00,2018-02-10 21:40:00,2018-02-10 00:00:00,-30.0
3610,9320951,LMN,ZGGG,2018-02-10 20:12:00,2018-02-10 20:05:00,2018-02-10 20:35:00,2018-02-10 00:00:00,-23.0
3611,9320953,LMN,ZGGG,2018-02-11 00:24:00,2018-02-10 23:05:00,2018-02-10 23:35:00,2018-02-10 00:00:00,49.0
3612,9320954,LMN,ZGGG,2018-02-10 23:17:00,2018-02-10 23:00:00,2018-02-10 23:30:00,2018-02-10 00:00:00,-13.0
3613,9320962,LMN,ZGGG,2018-02-10 21:40:00,2018-02-10 20:55:00,2018-02-10 21:25:00,2018-02-10 00:00:00,15.0
3614,9320965,LMN,ZGGG,2018-02-10 23:36:00,2018-02-10 21:25:00,2018-02-10 21:55:00,2018-02-10 00:00:00,101.0
3615,9320985,LMN,ZGGG,2018-02-10 19:17:00,2018-02-10 18:40:00,2018-02-10 19:10:00,2018-02-10 00:00:00,7.0
3616,9321018,LMN,ZGGG,2018-02-10 19:30:00,2018-02-10 19:15:00,2018-02-10 19:45:00,2018-02-10 00:00:00,-15.0
3617,9321020,LMN,ZGGG,2018-02-10 19:02:00,2018-02-10 19:05:00,2018-02-10 19:35:00,2018-02-10 00:00:00,-33.0
3618,9321026,LMN,ZGGG,2018-02-10 19:55:00,2018-02-10 19:25:00,2018-02-10 19:55:00,2018-02-10 00:00:00,0.0
3619,9321105,LMN,ZGGG,2018-02-10 20:51:00,2018-02-10 20:30:00,2018-02-10 21:00:00,2018-02-10 00:00:00,-9.0
3620,9321167,LMN,ZGGG,2018-02-10 22:45:00,2018-02-10 22:20:00,2018-02-10 22:50:00,2018-02-10 00:00:00,-5.0
3621,9321241,LMN,ZGGG,2018-02-10 20:28:00,2018-02-10 20:10:00,2018-02-10 20:40:00,2018-02-10 00:00:00,-12.0
3622,9321245,LMN,ZGGG,2018-02-10 21:36:00,2018-02-10 20:35:00,2018-02-10 21:05:00,2018-02-10 00:00:00,31.0
